country,tipi1,tipi2,tipi3,tipi4,tipi5,tipi6,tipi7,tipi8,tipi9,tipi10,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,family_size,stress_score,anxiety_score,depression_score,stress_category,anxiety_category,depression_category
US,2,2,5,5,3,5,5,3,4,3,1,1,2,1,17,1,1,2,60,2,1,1,15,8,21,1,1,3
US,1,7,7,7,5,7,5,2,2,2,2,3,2,1,19,1,2,1,60,2,1,2,26,7,20,3,0,2
US,1,6,7,5,5,7,3,7,1,7,1,1,3,1,15,1,2,5,60,2,1,1,35,26,36,4,4,4
US,1,7,5,6,5,1,7,5,2,5,3,1,2,1,35,1,7,1,60,2,2,1,24,14,16,2,2,2
US,5,5,3,4,6,4,6,5,6,2,2,3,2,1,46,2,1,1,60,1,2,2,6,0,6,0,0,0
US,1,2,5,7,5,7,6,3,2,4,1,2,2,1,14,1,7,1,60,2,1,3,19,19,28,2,3,4
US,6,3,7,5,7,3,6,1,6,2,3,1,1,1,21,1,4,1,60,1,1,2,25,14,23,2,2,3
PH,5,2,5,1,4,3,6,1,7,4,1,1,2,2,13,1,4,1,10,2,1,3,3,4,1,0,0,0
IT,2,5,4,4,3,6,4,5,6,2,2,3,1,2,22,2,2,1,60,1,1,2,14,6,12,0,0,1
US,1,1,7,7,5,6,6,1,5,1,2,1,2,1,16,2,2,3,60,2,1,11,21,25,30,2,4,4
RS,2,6,2,1,4,7,2,6,5,2,1,3,2,2,14,1,7,0,60,2,1,1,26,21,38,3,4,4
RO,6,4,5,5,6,5,7,4,3,1,2,3,1,2,16,1,4,4,60,2,2,2,13,9,9,0,1,0
DE,5,5,2,6,4,6,5,5,2,2,2,2,2,2,21,1,2,1,60,2,1,3,26,23,7,3,4,0
GB,5,5,3,5,5,3,5,3,3,5,3,3,1,1,18,1,2,2,60,2,1,2,18,12,19,1,2,2
US,6,6,6,5,7,5,7,6,5,3,0,2,1,1,30,1,2,1,60,1,2,2,25,8,14,2,1,2
DE,1,4,1,7,1,7,2,7,1,7,2,1,1,2,18,1,1,1,60,2,1,3,39,39,41,4,4,4
US,7,7,5,5,6,2,6,5,3,3,1,2,2,1,15,1,9,2,60,2,1,2,24,4,12,2,0,1
GB,1,1,1,7,1,7,1,7,1,7,3,1,1,1,20,1,1,1,60,2,2,4,40,42,42,4,4,4
US,5,5,3,6,6,3,7,7,3,1,2,2,2,1,24,1,2,1,60,1,1,2,39,34,40,4,4,4
US,3,5,7,7,7,5,7,1,3,2,3,3,2,1,26,1,6,0,10,1,1,3,24,19,34,2,3,4
US,1,7,3,6,2,1,1,5,2,1,3,1,1,1,38,1,4,1,60,1,2,2,36,5,40,4,0,4
US,5,1,4,7,5,6,7,2,2,4,3,3,1,1,38,1,1,2,60,1,1,5,23,30,15,2,4,2
